operacao,data,Atendentes,Falando,Ocioso,A - Improdutiva,Receptivo,A - Alô sem CPC,A - Alô com CPC negativo,A - Alô com CPC positivo,R - Improdutiva,R - Alô sem CPC,R - Alô com CPC negativo,R - Alô com CPC positivo,TotalPositivo,TotalProdutiva,PositivoPorPA,PositivoPorTempoLogado
CONSIG,2021-09-11,10,27.5150000,13.6150000,169,15,48,2,355,2,0,1,11,366,417,36,8.898614150255288
VEICULOS,2021-09-11,16,48.4472222,0.0005555,54,265,225,37,256,0,0,0,0,256,518,16,5.284040088984703
VEICULOS,2021-09-13,29,138.2627777,3.1125000,135,992,576,59,480,0,0,0,0,480,1115,16,3.395218793164764
CONSIG,2021-09-13,14,57.2661111,4.9869444,108,319,50,6,498,37,1,43,182,680,780,48,10.923158613365698
CARTAO,2021-09-13,5,1.8252777,4.4866666,26,14,1,13,13,3,0,0,6,19,33,3,3.010165911191304
CONSIG,2021-09-14,16,67.3958333,6.2797222,181,273,65,2,710,13,2,33,191,901,1003,56,12.229293599565663
VEICULOS,2021-09-14,30,63.0497222,8.1402777,162,105,530,110,303,0,0,0,0,303,943,10,4.256215760640539
CARTAO,2021-09-14,3,7.0963888,0.9775000,26,285,0,7,26,14,2,1,51,77,87,25,9.536915984311567
CARTAO,2021-09-15,5,7.9500000,6.0658333,95,30,6,24,96,0,0,0,18,114,144,22,8.133658362566145
CONSIG,2021-09-15,17,72.3675000,7.1611111,178,298,67,3,775,27,1,35,185,960,1066,56,12.071127441905953
VEICULOS,2021-09-15,31,160.0761111,0.0041666,145,1580,809,36,646,0,0,0,0,646,1491,20,4.035475256338400
CARTAO,2021-09-16,5,7.5905555,7.2900000,59,56,2,27,81,4,2,1,24,105,137,21,7.056188165017734
VEICULOS,2021-09-16,31,79.0638888,9.9830555,231,698,462,42,688,0,0,0,0,688,1192,22,7.726261740842065
CONSIG,2021-09-16,16,56.0363888,3.5033333,128,496,40,3,386,27,0,26,278,664,733,41,11.152218640216849
CARTAO,2021-09-17,4,8.5622222,3.7630555,78,166,4,21,70,7,0,1,55,125,151,31,10.141759257172477
CONSIG,2021-09-17,16,61.9455555,5.3480555,182,394,45,5,571,38,0,44,219,790,884,49,11.739598855760618
VEICULOS,2021-09-17,29,111.6369444,8.8211111,270,322,688,109,480,0,0,0,0,480,1277,16,3.984789541772263
CARTAO,2021-09-18,5,7.3227777,3.3663888,55,88,3,20,67,5,1,2,31,98,124,19,9.168160910579247
CONSIG,2021-09-18,12,31.6319444,19.1625000,222,35,40,2,409,12,1,4,15,424,471,35,8.347369572350432
VEICULOS,2021-09-18,12,47.6583333,0.0022222,30,453,341,59,210,0,0,0,0,210,610,17,4.406159297812074
CARTAO,2021-09-20,5,2.4005555,4.7961111,24,6,4,23,24,2,0,0,3,27,54,5,3.751736915238536
CONSIG,2021-09-20,15,60.8947222,6.7119444,166,275,63,6,586,24,4,28,189,775,876,51,11.463366531900207
VEICULOS,2021-09-20,28,97.5791666,9.1272222,228,482,518,121,736,0,0,0,0,736,1375,26,6.897431425276525
CONSIG,2021-09-21,16,59.5238888,6.7419444,169,282,50,6,617,23,3,23,153,770,852,48,11.619864434914926
VEICULOS,2021-09-21,30,113.1400000,13.7936111,393,828,516,101,675,0,0,0,0,675,1292,22,5.317740463628187
CARTAO,2021-09-21,5,8.4205555,5.1938888,97,1,1,27,140,0,0,0,1,141,169,28,10.356647351668979
CONSIG,2021-09-22,16,65.3561111,6.4972222,194,296,80,4,646,24,0,33,195,841,958,52,11.704397847467063
VEICULOS,2021-09-22,30,79.8800000,14.9902777,269,576,463,62,678,0,0,0,0,678,1203,22,7.146600767714979
